RecordTypeId,Apttus_Approval__Active__c,Apttus_Approval__CancelPendingRequestsOnAReject__c,Apttus_Approval__ConsolidateApprovals__c,Apttus_Approval__ConsolidateNotifications__c,Apttus_Approval__ContextType__c,Apttus_Approval__ContinuePendingApprovalsOnAReject__c,Apttus_Approval__Description__c,Apttus_Approval__EntryCriteriaFilterLogic__c,Apttus_Approval__Entry_Criteria_Active__c,Apttus_Approval__Entry_Criteria_BoolOper__c,Apttus_Approval__Final_Action_Field_Name_Source__c,Apttus_Approval__Final_Action_Field_Name__c,Apttus_Approval__Final_Action_Field_Update_Type__c,Apttus_Approval__Final_Action_Field_Value__c,Apttus_Approval__Final_Action_Type__c,Apttus_Approval__Final_Approval_Action__r.APTS_External_Id__c,Apttus_Approval__Initial_Submission_Field_Name_Source__c,Apttus_Approval__ProcessAutoEscalate__c,Apttus_Approval__Send_Email__c,Apttus_Approval__StepAutoEscalate__c,Apttus_Approval__StepAutoReapprove__c,Apttus_Approval__StepSubmissionComment1Enabled__c,Apttus_Approval__StepSubmissionComment2Enabled__c,Apttus_Approval__StepSubmissionComment3Enabled__c,Apttus_Approval__StepSubmissionCommentsEnabled__c,Apttus_Approval__StepType__c,Apttus_Approval__Step_Active__c,Apttus_Approval__Step_Auto_Complete__c,Apttus_Approval__Step_Filter_BoolOper__c,Apttus_Approval__Step_Group_Action_Field_Name_Source__c,Apttus_Approval__Step_Group_Active__c,Apttus_Approval__Step_Notify_Only__c,Apttus_Approval__SubmissionCommentsEnabledCount__c,Apttus_Approval__SubmissionCommentsEnabled__c,Apttus_Approval__SubmissionCommentsPerStep__c,Apttus_Approval__SubmissionCommentsType__c,APTS_External_Id__c,Record_Type_Text__c
01220000000jYmJAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,CLM - To set the Locked Field to False,,TRUE,AND,,Locked__c,Field Update (Constant),FALSE,Rejected,Ap-Sweden-000000800,Self,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APFA-Sweden-0000001,Final Action
01220000000jYmJAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,CLM - To change the approval status to Rejected,,TRUE,AND,,Apttus_Approval__Approval_Status__c,Field Update (Constant),Rejected,Rejected,Ap-Sweden-000000800,Self,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APFA-Sweden-0000002,Final Action
01220000000jYmJAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,CLM - To set the Locked Field to False,,TRUE,AND,,Locked__c,Field Update (Constant),FALSE,Approved,Ap-Sweden-000000800,Self,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APFA-Sweden-0000003,Final Action
01220000000jYmJAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,CLM - To change the approval status to Approved,,TRUE,AND,,Apttus_Approval__Approval_Status__c,Field Update (Constant),Approved,Approved,Ap-Sweden-000000800,Self,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APFA-Sweden-0000004,Final Action
01220000000jYmJAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,CLM - To uncheck the Import Offline Document Approval field,,TRUE,AND,,Import_Offline_Document_Approval__c,Field Update (Constant),FALSE,Approved,Ap-Sweden-000000800,Self,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APFA-Sweden-0000005,Final Action
01220000000jYmJAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,CLM - To set the Locked Field to False,,TRUE,AND,,Locked__c,Field Update (Constant),FALSE,Rejected,Ap-KR-000000800,Self,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APFA-KR-0000001,Final Action
01220000000jYmJAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,CLM - To change the approval status to Rejected,,TRUE,AND,,Apttus_Approval__Approval_Status__c,Field Update (Constant),Rejected,Rejected,Ap-KR-000000800,Self,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APFA-KR-0000002,Final Action
01220000000jYmJAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,CLM - To set the Locked Field to False,,TRUE,AND,,Locked__c,Field Update (Constant),FALSE,Approved,Ap-KR-000000800,Self,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APFA-KR-0000003,Final Action
01220000000jYmJAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,CLM - To change the approval status to Approved,,TRUE,AND,,Apttus_Approval__Approval_Status__c,Field Update (Constant),Approved,Approved,Ap-KR-000000800,Self,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APFA-KR-0000004,Final Action
01220000000jYmJAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,CLM - To uncheck the Import Offline Document Approval field,,TRUE,AND,,Import_Offline_Document_Approval__c,Field Update (Constant),FALSE,Approved,Ap-KR-000000800,Self,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APFA-KR-0000005,Final Action
