Name,FieldAPI__c,NewValue__c,OldValue__c,ObjectAPI__c
Channel_Market_coverage_Findustry,Focussed_Industry1__c,UT.4.9,IND.17.3,Channel_Market_Coverage__c
CPA_PGField1,PG_s_Covered__c,,4426,Channel_Partner_Authorization__c
AuthorizationBU1,Business_Unit1__c,IAEN,IACT,Authorization_Product_Line__c
jointfocusindustry,Focussed_Industry1__c,UT.4.9,IND.17.3,Joint_Business_Plan_Market_Coverage__c
ApllicationFocused22,Applications_focused__c,,AP.547,Channel_Market_Coverage__c
ApllicationFocused23,Applications_focused__c,,AP.548,Channel_Market_Coverage__c
ApllicationFocused24,Applications_focused__c,,AP.550,Channel_Market_Coverage__c
ApllicationFocused25,Applications_focused__c,,AP.551,Channel_Market_Coverage__c
ApllicationFocused26,Applications_focused__c,,AP.552,Channel_Market_Coverage__c
ApllicationFocused27,Applications_focused__c,,AP.361,Channel_Market_Coverage__c
leadprocessconfigBU,BusinessUnit__c,IAEN,IAOG,LeadProcessConfiguration__c
ApllicationFocused10,Applications_focused__c,,AP.511,Channel_Market_Coverage__c
ApllicationFocused11,Applications_focused__c,,AP.512,Channel_Market_Coverage__c
ApllicationFocused12,Applications_focused__c,,AP.513,Channel_Market_Coverage__c
ApllicationFocused13,Applications_focused__c,,AP.516,Channel_Market_Coverage__c
ApllicationFocused14,Applications_focused__c,,AP.539,Channel_Market_Coverage__c
ApllicationFocused15,Applications_focused__c,,AP.540,Channel_Market_Coverage__c
ApllicationFocused16,Applications_focused__c,,AP.541,Channel_Market_Coverage__c
ApllicationFocused17,Applications_focused__c,,AP.542,Channel_Market_Coverage__c
ApllicationFocused18,Applications_focused__c,,AP.543,Channel_Market_Coverage__c
ApllicationFocused19,Applications_focused__c,,AP.544,Channel_Market_Coverage__c
ApllicationFocused20,Applications_focused__c,,AP.545,Channel_Market_Coverage__c
ApllicationFocused21,Applications_focused__c,,AP.546,Channel_Market_Coverage__c
ApllicationFocused1,Applications_focused__c,,AP.500,Channel_Market_Coverage__c
ApllicationFocused2,Applications_focused__c,,AP.501,Channel_Market_Coverage__c
ApllicationFocused3,Applications_focused__c,,AP.503,Channel_Market_Coverage__c
ApllicationFocused4,Applications_focused__c,,AP.504,Channel_Market_Coverage__c
ApllicationFocused5,Applications_focused__c,,AP.505,Channel_Market_Coverage__c
ApllicationFocused6,Applications_focused__c,,AP.506,Channel_Market_Coverage__c
ApllicationFocused7,Applications_focused__c,,AP.507,Channel_Market_Coverage__c
ApllicationFocused8,Applications_focused__c,,AP.509,Channel_Market_Coverage__c
ApllicationFocused9,Applications_focused__c,,AP.510,Channel_Market_Coverage__c
ChannelPartnerAuthBUcovered,Business_Units_Covered__c,IAEN,IACT,Channel_Partner_Authorization__c
channel partenr authorization1,PG_s_Covered__c,4101,4103,Channel_Partner_Authorization__c
CPA_PGField2,PG_s_Covered__c,,1722,Channel_Partner_Authorization__c
ChannelPartnerAuthBUcovered2,Business_Units_Covered__c,IAEN,IAOG,Channel_Partner_Authorization__c
AuthorizationBu2,Business_Unit1__c,IAEN,IAOG,Authorization_Product_Line__c
CPA_PGField3,PG_s_Covered__c,4416,4526,Channel_Partner_Authorization__c
CPA_PGField4,PG_s_Covered__c,4416,4527,Channel_Partner_Authorization__c
CPA_PGField5,PG_s_Covered__c,9919,9946,Channel_Partner_Authorization__c
CPA_PGField6,PG_s_Covered__c,4101,4103,Channel_Partner_Authorization__c
CPA_PGField7,PG_s_Covered__c,4498,4442,Channel_Partner_Authorization__c
AuthorizationBU3,Business_Unit1__c,IAEN,IAPG,Authorization_Product_Line__c
CMPLBusinessUnit,Business_Unit__c,IAEN,IACT,Channel_Market_Coverage_Product_Lines__c
ChannelPartnerAuthBUcovered1,Business_Units_Covered__c,IAEN,IAPG,Channel_Partner_Authorization__c
