RecordTypeId,Apttus_Approval__Active__c,Apttus_Approval__CancelPendingRequestsOnAReject__c,Apttus_Approval__ConsolidateApprovals__c,Apttus_Approval__ConsolidateNotifications__c,Apttus_Approval__ContextType__c,Apttus_Approval__ContinuePendingApprovalsOnAReject__c,Apttus_Approval__Entry_Criteria_Active__c,Apttus_Approval__Entry_Criteria_BoolOper__c,Apttus_Approval__Entry_Criteria_Comparison_Type__c,Apttus_Approval__Entry_Criteria_Field_Value__c,Apttus_Approval__Entry_Criteria_Field__c,Apttus_Approval__Entry_Criteria__r.APTS_External_Id__c,Apttus_Approval__Escalation_Email_Template__c,Apttus_Approval__Final_Action_Field_Name_Source__c,Apttus_Approval__Initial_Submission_Field_Name_Source__c,Apttus_Approval__ProcessAutoEscalate__c,Apttus_Approval__Send_Email__c,Apttus_Approval__Sequence__c,Apttus_Approval__StepAutoEscalate__c,Apttus_Approval__StepAutoReapprovalCriteria__c,Apttus_Approval__StepAutoReapprove__c,Apttus_Approval__StepSubmissionComment1Enabled__c,Apttus_Approval__StepSubmissionComment2Enabled__c,Apttus_Approval__StepSubmissionComment3Enabled__c,Apttus_Approval__StepSubmissionCommentsEnabled__c,Apttus_Approval__StepType__c,Apttus_Approval__Step_Active__c,Apttus_Approval__Step_Auto_Complete__c,Apttus_Approval__Step_Filter_BoolOper__c,Apttus_Approval__Step_Group_Action_Field_Name_Source__c,Apttus_Approval__Step_Group_Active__c,Apttus_Approval__Step_Notify_Only__c,Apttus_Approval__SubmissionCommentsEnabledCount__c,Apttus_Approval__SubmissionCommentsEnabled__c,Apttus_Approval__SubmissionCommentsPerStep__c,Apttus_Approval__SubmissionCommentsType__c,APTS_External_Id__c,Record_Type_Text__c
01220000000jYmIAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,TRUE,AND,equal to,Deal Agreement (Products and/or Services),RecordType.Name,Ap-Sweden-000000800,,Self,Self,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APEC-Sweden-000000001,Entry Criteria
01220000000jYmIAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,TRUE,AND,equal to,Frame Agreement,RecordType.Name,Ap-Sweden-000000800,,Self,Self,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APEC-Sweden-000000002,Entry Criteria
01220000000jYmIAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,TRUE,AND,equal to,NDA,RecordType.Name,Ap-Sweden-000000800,,Self,Self,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APEC-Sweden-000000003,Entry Criteria
01220000000jYmIAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,TRUE,AND,equal to,Sweden,Country_Global__c,Ap-Sweden-000000800,,Self,Self,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APEC-Sweden-000000004,Entry Criteria
01220000000jYmIAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,TRUE,AND,not equal to,TRUE,Locked__c,Ap-Sweden-000000800,,Self,Self,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APEC-Sweden-000000005,Entry Criteria
01220000000jYmIAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,TRUE,,not equal to,In Effect,Apttus__Status_Category__c,Ap-Sweden-000000800,,Self,Self,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APEC-Sweden-000000006,Entry Criteria
01220000000jYmIAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,TRUE,AND,equal to,Deal Agreement (Products and/or Services),RecordType.Name,Ap-KR-000000800,,Self,Self,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APEC-KR-000000001,Entry Criteria
01220000000jYmIAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,TRUE,AND,equal to,Frame Agreement,RecordType.Name,Ap-KR-000000800,,Self,Self,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APEC-KR-000000002,Entry Criteria
01220000000jYmIAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,TRUE,AND,equal to,NDA,RecordType.Name,Ap-KR-000000800,,Self,Self,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APEC-KR-000000003,Entry Criteria
01220000000jYmIAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,TRUE,AND,equal to,"Korea, Republic of",Country_Global__c,Ap-KR-000000800,,Self,Self,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APEC-KR-000000004,Entry Criteria
01220000000jYmIAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,TRUE,AND,not equal to,TRUE,Locked__c,Ap-KR-000000800,,Self,Self,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APEC-KR-000000005,Entry Criteria
01220000000jYmIAAU,TRUE,TRUE,FALSE,FALSE,Single,FALSE,TRUE,,not equal to,In Effect,Apttus__Status_Category__c,Ap-KR-000000800,,Self,Self,FALSE,TRUE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,Standard,TRUE,FALSE,AND,Self,TRUE,FALSE,0,FALSE,1,Process,APEC-KR-000000006,Entry Criteria
